2021-12-01 16:18:55,618 - SimpleYolov5 - INFO - 
====================================================================== Model Summary ======================================================================
Model Summary:	layers 288; parameters 7276605; gradients 7276605; flops 4.265007GFLOPs
====================================================================== Training ======================================================================

2021-12-01 16:18:55,618 - SimpleYolov5 - INFO -   all_mem(G)     cac_mem(G)        epoch          step          batchsz       img_shape      tot_loss       reg_loss       cof_loss       cls_loss      use_time(s)      tar_num      model_saved  
2021-12-01 16:19:02,065 - SimpleYolov5 - INFO -      0.14           0.83             2              4              4             640          1.46600        0.11975        0.08475        0.16200        1.3e-01          591            no       
2021-12-01 16:19:05,993 - SimpleYolov5 - INFO -      0.14           0.83             2              9              4             640          1.49303        0.12079        0.09496        0.15750        1.3e-01         1008            no       
2021-12-01 16:19:10,013 - SimpleYolov5 - INFO -      0.14           0.83             2             14              4             640          1.44585        0.11955        0.08920        0.15271        1.3e-01          386            yes      
2021-12-01 16:19:13,911 - SimpleYolov5 - INFO -      0.14           0.83             2             19              4             640          1.49418        0.12072        0.08912        0.16371        1.3e-01          693            no       
2021-12-01 16:19:17,689 - SimpleYolov5 - INFO -      0.14           0.83             2             24              4             640          1.47831        0.12071        0.08756        0.16131        1.3e-01          530            yes      
2021-12-01 16:19:21,498 - SimpleYolov5 - INFO -      0.14           0.83             2             29              4             640          1.47153        0.12076        0.08636        0.16075        1.3e-01          591            yes      
2021-12-01 16:19:25,308 - SimpleYolov5 - INFO -      0.14           0.83             2             34              4             640          1.45675        0.12032        0.08617        0.15770        1.3e-01          821            yes      
2021-12-01 16:19:29,605 - SimpleYolov5 - INFO -      0.14           0.83             2             39              4             640          1.44784        0.11988        0.08537        0.15671        1.3e-01          386            no       
2021-12-01 16:19:33,607 - SimpleYolov5 - INFO -      0.14           0.83             2             44              4             640          1.44242        0.11976        0.08586        0.15499        1.3e-01          638            yes      
2021-12-01 16:19:37,338 - SimpleYolov5 - INFO -      0.14           0.83             2             49              4             640          1.44395        0.11989        0.08548        0.15561        1.3e-01          859            yes      
2021-12-01 16:19:41,081 - SimpleYolov5 - INFO -      0.14           0.83             2             54              4             640          1.44885        0.11992        0.08612        0.15618        1.3e-01          567            no       
2021-12-01 16:19:44,911 - SimpleYolov5 - INFO -      0.14           0.83             2             59              4             640          1.44691        0.11983        0.08533        0.15656        1.3e-01          701            no       
2021-12-01 16:19:48,720 - SimpleYolov5 - INFO -      0.14           0.83             2             64              4             640          1.44479        0.11964        0.08541        0.15615        1.3e-01          549            yes      
2021-12-01 16:19:52,783 - SimpleYolov5 - INFO -      0.14           0.83             2             69              4             640          1.44540        0.11990        0.08513        0.15632        1.3e-01          524            yes      
2021-12-01 16:19:56,708 - SimpleYolov5 - INFO -      0.14           0.83             2             74              4             640          1.43591        0.11974        0.08462        0.15462        1.3e-01          452            yes      
2021-12-01 16:20:00,491 - SimpleYolov5 - INFO -      0.14           0.83             2             79              4             640          1.43079        0.11962        0.08416        0.15392        1.3e-01          564            no       
2021-12-01 16:20:04,980 - SimpleYolov5 - INFO -      0.14           0.83             2             84              4             640          1.42627        0.11951        0.08466        0.15240        1.3e-01          311            yes      
2021-12-01 16:20:08,937 - SimpleYolov5 - INFO -      0.14           0.83             2             89              4             640          1.42996        0.11970        0.08380        0.15398        1.3e-01          525            no       
2021-12-01 16:20:12,665 - SimpleYolov5 - INFO -      0.14           0.83             2             94              4             640          1.42896        0.11960        0.08451        0.15313        1.3e-01          943            no       
2021-12-01 16:20:16,554 - SimpleYolov5 - INFO -      0.14           0.83             2             99              4             640          1.43247        0.11961        0.08407        0.15444        1.3e-01          375            no       
2021-12-01 16:20:20,159 - SimpleYolov5 - INFO -      0.14           0.83             2             104             4             640          1.43776        0.11958        0.08370        0.15616        1.3e-01          321            yes      
2021-12-01 16:20:23,901 - SimpleYolov5 - INFO -      0.14           0.83             2             109             4             640          1.43558        0.11959        0.08319        0.15611        1.3e-01          306            yes      
2021-12-01 16:20:28,042 - SimpleYolov5 - INFO -      0.14           0.83             2             114             4             640          1.43227        0.11945        0.08312        0.15550        1.3e-01          451            yes      
2021-12-01 16:20:32,017 - SimpleYolov5 - INFO -      0.14           0.83             2             119             4             640          1.42925        0.11940        0.08301        0.15491        1.3e-01          261            yes      
